Gate voltage (V),Capacitance (F),Dissipation (s^-1),Resonance frequency (Hz),Internal quality factor (1),Effective resistnce (Ohm)
-0.0009200000000001429,2.958481780185161e-18,-14204.914283817829,368785463.76980156,3957.1591722677545,-215475538.1408413
-0.0009100000000000774,3.263888139491343e-18,-8346.446145767752,368785291.42279243,3917.96044107091,-366720337.74545306
-0.0009000000000001229,6.476957217373437e-18,-68.81393617854813,368783478.23732084,3863.8807430928077,-44479530158.047806
-0.0008900000000000574,5.233124994478484e-19,3140.213975119694,368786837.9939119,3843.3148514414856,974714326.4125803
-0.0008800000000001029,3.3711050906666354e-18,-1769.5259342483162,368785230.9181474,3874.8696871390116,-1729735343.410062
-0.0008700000000001484,-7.514140946697025e-19,16434.485824023028,368787557.35866034,3760.3968976487204,186243219.4304521
-0.0008600000000000829,4.928549427985251e-19,-4453.383441010201,368786855.18193495,3892.3388287637936,-687300249.3708125
-0.0008500000000001284,1.1663001386831797e-18,-15610.163290453964,368786475.1391575,3966.6785417688698,-196078125.03934145
-0.0008400000000000629,4.9173743168643715e-18,10519.000336989622,368784358.3311676,3796.846389419832,290979318.5182191
-0.0008300000000001084,4.5703510795773784e-18,10043.565068860407,368784554.16195816,3799.8065841698003,304753494.25873613
-0.0008200000000000429,3.9621549837594995e-18,-974.1868549105288,368784897.3775432,3869.7229301141656,-3141914237.624773
-0.0008100000000000884,3.1489254079707158e-18,14282.040948247595,368785356.29856753,3773.5783561635376,214311915.26766792
-0.0008000000000001339,4.854838641382715e-18,-4314.310494963631,368784393.62103134,3891.4297388110876,-709455555.6729679
-0.0007900000000000684,5.983125699963756e-18,6132.134275061214,368783756.9124823,3824.3365882904864,499142943.10191756
-0.0007800000000001139,2.140426044053063e-18,-1559.9304786588532,368785925.4164527,3873.512035823691,-1962146128.5772135
-0.0007700000000000484,5.0210242082085195e-18,9573.575465948627,368784299.83992845,3802.7374129678174,319714568.5472384
-0.0007600000000000939,1.075281628103666e-18,19843.171479482997,368786526.50322026,3739.709641404084,154250118.37018788
-0.0007500000000001394,6.4888040382792105e-18,1509.8139599470903,368783471.55202276,3853.7362617592657,2027277287.6317296
-0.0007400000000000739,1.439416732395727e-20,-13327.781509318223,368787125.1906066,3951.2404673166793,-229656492.14838845
-0.0007300000000001194,6.064682311589535e-18,18078.299758439727,368783710.88904595,3750.3921211283314,169308595.9657926
-0.0007200000000000539,-1.3521593050288443e-18,9517.948734856636,368787896.3778582,3803.0845973928713,321583109.4299582
-0.0007100000000000994,1.0660825322661375e-18,3859.628969545308,368786531.69450545,3838.7342988506243,793032587.7699118
